Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
World,3088,3114,3130,3130,3163,3235,3316,3427,3469,3537,3561,3589,3588,3650,3807,3849,3895,3941,3896,3802,3904,3904,3952,4002,4045,4123,4174,4262,4299
OECD,1789,1800,1839,1855,1905,1919,1966,2025,2046,2073,2060,2075,2036,2064,2097,2094,2065,2047,1958,1866,1895,1827,1808,1801,1782,1809,1826,1847,1852
G7,1387,1381,1403,1409,1435,1439,1472,1518,1542,1561,1542,1556,1517,1535,1560,1553,1526,1497,1419,1343,1367,1311,1295,1293,1282,1295,1294,1307,1315
BRICS,485,505,492,487,459,485,494,516,524,549,571,575,587,613,668,676,711,744,763,765,802,847,883,912,951,992,1005,1045,1084
Europe,649,655,653,648,651,662,680,680,689,679,668,678,675,681,682,680,678,659,650,616,611,586,569,556,549,564,571,583,577
European Union,598,606,606,598,602,610,624,624,634,626,613,624,618,624,625,623,619,599,591,557,553,530,511,497,492,501,505,515,511
Belgium,18,19,20,19,22,21,23,23,23,23,22,23,22,23,23,23,22,22,23,21,22,20,21,21,21,22,22,21,20
Czech Republic,9,7,8,8,8,8,8,8,8,8,8,8,8,8,9,10,10,10,10,9,9,9,8,8,9,8,8,9,9
France,80,86,85,83,82,84,85,85,89,88,86,89,86,86,86,85,85,83,80,77,75,73,71,70,68,68,67,67,65
Germany,119,127,128,130,128,128,130,129,129,124,121,123,118,116,114,112,112,99,105,100,101,98,98,100,97,97,97,99,94
Italy,88,87,89,88,87,91,90,90,90,88,86,85,87,86,84,81,81,78,74,68,67,64,59,53,54,54,52,52,54
Netherlands,22,21,22,21,22,23,24,24,24,24,23,24,24,27,27,26,26,27,26,25,26,25,25,25,24,24,24,25,25
Poland,13,13,13,14,14,14,16,18,18,19,19,18,18,19,20,21,22,23,23,23,25,24,23,21,21,23,25,29,30
Portugal,11,11,12,12,12,13,12,13,15,15,15,15,16,14,14,15,13,13,13,12,11,10,9,9,9,9,9,10,9
Romania,17,14,12,11,11,11,13,13,11,10,10,11,11,10,10,10,10,10,10,9,8,8,9,8,8,9,9,9,9
Spain,44,46,48,45,49,52,51,53,57,59,61,63,64,65,67,68,66,67,63,59,57,54,49,47,45,48,49,50,51
Sweden,15,15,16,16,17,16,18,16,17,16,15,15,15,15,14,14,13,13,12,11,12,11,11,10,10,10,11,10,11
United Kingdom,73,74,74,74,73,72,74,72,70,70,68,67,67,68,69,69,68,66,64,60,60,57,57,55,55,57,58,59,59
Norway,8,8,8,8,8,8,9,9,9,9,8,9,9,9,9,9,9,9,9,9,9,9,8,8,8,8,8,8,8
Turkey,22,22,23,26,25,28,30,29,29,28,30,28,29,29,29,28,30,30,30,31,29,29,31,33,32,37,41,43,42
CIS,371,374,309,259,205,199,179,174,171,166,164,163,162,165,164,164,169,171,175,168,172,187,191,187,199,198,194,195,197
Kazakhstan,19,22,21,17,12,11,9,8,9,7,8,7,8,8,8,9,10,10,11,9,9,10,10,11,11,12,13,13,14
Russia,214,221,196,174,135,133,125,120,117,121,119,120,117,118,117,117,121,123,127,121,127,139,140,140,153,152,146,146,147
Ukraine,67,64,39,28,25,25,16,18,17,12,12,13,13,13,13,14,14,14,14,14,13,13,13,12,11,10,11,10,11
Uzbekistan,10,10,8,8,7,7,6,7,7,7,6,6,6,6,6,5,5,4,4,4,4,3,3,3,3,2,2,2,2
America,1023,1009,1029,1046,1085,1083,1123,1189,1229,1246,1246,1261,1216,1234,1280,1291,1279,1285,1235,1178,1220,1181,1184,1192,1197,1200,1200,1206,1214
North America,809,789,804,814,836,832,860,911,939,959,953,969,933,956,988,989,973,966,906,855,881,833,823,831,833,848,853,865,884
Canada,77,73,75,76,77,79,81,84,85,87,87,89,89,96,99,102,102,106,102,100,104,105,107,105,102,104,106,107,108
United States,732,716,729,738,759,753,779,827,854,872,866,880,844,860,888,887,871,860,804,755,777,729,715,725,731,744,747,758,776
Latin America,214,220,225,232,249,252,263,278,291,287,292,292,283,278,293,302,307,319,329,324,339,348,362,361,364,352,347,341,330
Argentina,19,20,21,21,23,23,23,25,27,26,25,23,21,22,25,25,28,28,30,29,30,31,32,31,31,33,32,30,28
Brazil,57,58,60,62,66,70,75,81,85,87,88,88,85,82,85,87,88,92,95,94,104,109,116,120,124,116,110,111,111
Chile,6,7,7,8,8,9,10,10,11,11,10,9,10,10,11,11,11,15,15,14,14,14,14,15,14,14,15,16,16
Colombia,8,9,9,10,11,11,12,12,12,11,11,11,11,10,11,11,11,11,11,10,10,12,12,13,13,14,14,15,15
Mexico,69,74,74,77,84,77,78,81,85,84,88,87,83,83,86,88,88,91,90,87,88,90,89,88,85,84,86,84,78
Venezuela,18,17,19,19,19,20,20,22,22,20,22,25,25,23,25,28,27,28,31,32,35,32,37,34,34,29,26,23,20
Asia,593,620,655,691,718,771,796,830,813,855,877,878,903,929,992,992,1014,1044,1025,1039,1073,1112,1155,1187,1202,1252,1285,1333,1375
China,142,152,160,175,175,189,196,212,217,227,241,245,258,281,329,333,353,367,375,382,401,419,438,461,476,507,523,549,582
India,56,58,61,63,68,76,81,85,89,97,108,106,110,114,117,119,129,139,142,144,147,154,164,166,173,191,201,212,218
Indonesia,30,32,33,37,37,43,45,48,47,51,51,53,53,54,60,60,57,59,60,61,61,71,75,75,75,70,68,72,76
Japan,217,218,222,221,228,233,233,231,226,232,228,222,226,223,220,216,208,206,188,183,183,185,188,185,175,171,167,164,159
Malaysia,12,13,14,15,15,18,19,20,18,19,19,20,21,20,21,21,22,25,24,26,24,27,25,28,29,27,28,28,28
South Korea,48,58,69,76,81,88,91,97,79,87,90,89,90,90,88,88,87,89,84,87,89,89,92,92,93,98,102,104,103
Taiwan,25,26,26,28,29,32,32,32,33,35,36,38,38,40,41,41,46,43,41,41,42,38,38,39,39,40,40,40,40
Thailand,17,18,20,23,27,30,34,33,30,31,31,30,34,37,41,41,40,40,38,40,42,44,46,50,50,50,51,53,54
Pacific,36,36,36,36,38,39,40,41,41,42,43,43,43,46,47,47,48,48,50,48,50,52,53,55,55,54,56,56,58
Australia,31,31,30,31,32,33,34,34,35,35,36,36,36,38,39,39,40,40,41,41,42,44,45,47,47,45,46,47,49
New Zealand,4,4,4,4,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7
Africa,82,83,86,85,83,88,91,96,96,100,100,104,107,109,116,121,122,128,138,144,151,150,160,172,177,179,182,183,180
Algeria,8,8,8,8,8,7,7,7,7,8,8,8,9,10,10,10,11,12,13,14,14,15,16,17,18,18,18,18,18
Egypt,21,20,20,20,18,19,20,22,24,24,23,22,23,22,27,27,28,29,31,33,34,34,36,36,38,39,40,38,35
Nigeria,7,9,10,9,7,8,9,10,9,9,10,12,12,12,12,12,10,9,11,9,12,11,11,17,19,17,18,20,20
South Africa,15,15,15,14,15,16,16,17,17,17,16,17,17,18,19,20,20,24,24,23,23,25,25,26,25,26,26,26,26
Middle-East,133,134,148,154,163,163,172,174,178,186,192,201,209,211,223,239,252,257,272,274,270,276,294,303,305,298,292,294,290
Iran,46,48,53,53,57,56,59,60,59,63,65,68,67,67,70,75,84,86,86,87,77,76,80,86,84,77,73,74,72
Kuwait,4,2,5,4,5,6,6,6,7,9,8,9,10,12,12,13,14,13,16,17,16,15,15,17,15,16,15,15,15
Saudi Arabia,34,36,39,41,42,41,45,45,48,50,52,55,60,63,68,70,75,78,84,81,84,89,96,99,107,115,113,112,108
United Arab Emirates,6,7,7,7,7,7,7,7,7,7,7,8,8,9,9,10,10,11,11,13,13,14,14,16,16,15,17,16,17
